Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-04-23,212.078,217.701,212.078,217.701,1702.332838578
2021-04-26,217.701,217.701,213.009,213.949,340.0454587883
2021-04-27,214.89,215.83,213.009,215.83,436.90051206547
2021-04-28,215.83,220.523,213.009,220.523,2237.1411762388
2021-04-29,219.582,219.582,215.83,216.77,762.20715839855
2021-04-30,220.523,221.463,217.701,217.701,928.5451846789
2021-05-04,220.523,220.523,213.949,213.949,1029.611327229
2021-05-05,213.949,217.701,208.317,215.83,974.86716668102
2021-05-06,214.89,216.77,214.89,215.83,764.31270303501
2021-05-07,217.701,217.701,211.138,213.949,4539.554236208
2021-05-10,213.949,215.83,211.138,214.89,768.52379230793
2021-05-11,213.949,215.83,210.197,215.83,1052.77231823
2021-05-12,215.83,215.83,210.197,213.009,667.45764975785
2021-05-13,212.078,212.078,208.317,208.317,873.80102413094
2021-05-14,208.317,210.197,208.317,210.197,350.57318197061
2021-05-17,210.197,210.197,199.872,203.624,4063.701148368
2021-05-18,204.565,213.009,202.693,212.078,4291.0999691057
2021-05-19,212.078,215.83,203.624,214.89,2192.9247388732
2021-05-20,214.89,215.83,207.386,207.386,2655.0917865762
2021-05-21,207.386,212.078,207.386,208.317,863.27330094864
2021-05-24,210.197,220.523,207.386,216.77,5940.7941917721
2021-05-25,214.89,216.77,213.009,215.83,1068.5639030035
2021-05-26,214.89,221.463,213.949,219.582,2849.8546654487
2021-05-27,219.582,224.275,217.701,224.275,2303.4658322873
2021-05-28,225.215,230.838,224.275,227.086,7804.2011950393
2021-05-31,227.086,227.086,217.701,224.275,947.49508640704
2021-06-01,224.275,224.275,220.523,221.463,539.01942693378
2021-06-02,221.463,221.463,214.89,216.77,1052.77231823
2021-06-04,220.523,222.394,218.642,218.642,371.62862833521
2021-06-07,219.582,234.6,218.642,224.275,4720.6310749435
2021-06-08,223.334,228.967,223.334,225.215,1945.5232440891
2021-06-09,227.086,237.411,226.146,237.411,12095.301164145
2021-06-10,235.531,235.531,222.394,234.6,2181.3442433727
2021-06-11,230.838,243.975,230.838,243.975,3521.5234044795
2021-06-14,238.352,249.608,238.352,248.667,1760.2353160806
2021-06-15,248.667,248.667,240.222,240.222,896.962015132
2021-06-16,239.292,239.292,232.719,238.352,1049.6140012754
2021-06-17,235.531,235.531,230.838,230.838,1760.2353160806
2021-06-18,230.838,232.719,221.463,221.463,4541.6597808444
2021-06-21,222.394,230.838,222.394,227.086,1015.925287092
2021-06-22,224.275,230.838,223.334,230.838,451.63932452069
2021-06-23,229.907,238.352,229.907,237.411,368.47031138052
2021-06-24,235.531,242.104,232.719,241.163,787.47369403607
2021-06-25,242.104,242.104,236.47,236.47,1463.3535223398
2021-06-28,242.104,243.044,237.411,237.411,290.56515983149
2021-06-29,241.163,241.163,236.47,238.352,390.57853006335
2021-06-30,240.222,240.222,235.531,236.47,980.13102827217
2021-07-01,237.411,237.411,231.779,231.779,670.61596671254
2021-07-02,231.779,234.6,231.779,232.719,347.41486501591
2021-07-05,237.469,240.318,228.92,229.869,960.1283542258
2021-07-06,229.869,238.418,229.869,238.418,206.34337437309
2021-07-07,239.368,239.368,234.618,238.418,425.32001656494
2021-07-08,243.167,245.067,232.719,232.719,33911.901914826
2021-07-09,232.719,236.518,228.92,230.82,404.26457020034
2021-07-12,232.719,244.118,231.769,242.218,1273.8545050584
2021-07-13,242.218,242.218,238.418,238.418,368.47031138052
2021-07-14,238.418,238.418,230.82,230.82,413.73952106441
2021-07-15,234.618,235.569,224.17,224.17,1869.7236371766
2021-07-16,226.069,237.469,224.17,229.869,1926.573342361
2021-07-19,229.869,233.669,225.12,227.969,689.56586844068
2021-07-20,227.02,227.969,225.12,225.12,805.37082344598
2021-07-21,225.12,229.869,225.12,225.12,1306.4904469235
2021-07-22,228.92,237.469,226.069,232.719,1293.8571791047
2021-07-23,233.669,255.516,233.669,255.516,9906.5875145447
